hash,p,d,q,P,D,Q,s,AIC,MACAPE
39790,0.0,0.0,1.0,2.0,0.0,2.0,12.0,,
40701,0.0,0.0,1.0,2.0,0.0,3.0,12.0,,
67737,0.0,0.0,1.0,2.0,1.0,0.0,12.0,2218.53469183,0.224002712511
68648,0.0,0.0,1.0,2.0,1.0,1.0,12.0,2220.37179038,0.224514097178
69559,0.0,0.0,1.0,2.0,1.0,2.0,12.0,,
70470,0.0,0.0,1.0,2.0,1.0,3.0,12.0,,
97506,0.0,0.0,1.0,2.0,2.0,0.0,12.0,2005.98326849,0.288443076016
98417,0.0,0.0,1.0,2.0,2.0,1.0,12.0,2004.2487752,0.283258585779
99328,0.0,0.0,1.0,2.0,2.0,2.0,12.0,,
220,0.0,0.0,1.0,2.0,2.0,3.0,12.0,,
52378,0.0,0.0,1.0,3.0,0.0,0.0,12.0,,
53289,0.0,0.0,1.0,3.0,0.0,1.0,12.0,,
54200,0.0,0.0,1.0,3.0,0.0,2.0,12.0,,
55111,0.0,0.0,1.0,3.0,0.0,3.0,12.0,,
82147,0.0,0.0,1.0,3.0,1.0,0.0,12.0,2220.39565976,0.224858316685
83058,0.0,0.0,1.0,3.0,1.0,1.0,12.0,2222.35996497,0.224711722681
83969,0.0,0.0,1.0,3.0,1.0,2.0,12.0,,
84880,0.0,0.0,1.0,3.0,1.0,3.0,12.0,,
11897,0.0,0.0,1.0,3.0,2.0,0.0,12.0,,
12808,0.0,0.0,1.0,3.0,2.0,1.0,12.0,,
13719,0.0,0.0,1.0,3.0,2.0,2.0,12.0,,
14630,0.0,0.0,1.0,3.0,2.0,3.0,12.0,,
34169,0.0,0.0,2.0,0.0,0.0,0.0,12.0,,
35080,0.0,0.0,2.0,0.0,0.0,1.0,12.0,,
35991,0.0,0.0,2.0,0.0,0.0,2.0,12.0,,
36902,0.0,0.0,2.0,0.0,0.0,3.0,12.0,,
63938,0.0,0.0,2.0,0.0,1.0,0.0,12.0,,2.0
64849,0.0,0.0,2.0,0.0,1.0,1.0,12.0,,2.0
65760,0.0,0.0,2.0,0.0,1.0,2.0,12.0,,
66671,0.0,0.0,2.0,0.0,1.0,3.0,12.0,,
93707,0.0,0.0,2.0,0.0,2.0,0.0,12.0,,2.0
94618,0.0,0.0,2.0,0.0,2.0,1.0,12.0,,2.0
95529,0.0,0.0,2.0,0.0,2.0,2.0,12.0,,
96440,0.0,0.0,2.0,0.0,2.0,3.0,12.0,,
48579,0.0,0.0,2.0,1.0,0.0,0.0,12.0,,
49490,0.0,0.0,2.0,1.0,0.0,1.0,12.0,,
50401,0.0,0.0,2.0,1.0,0.0,2.0,12.0,,
51312,0.0,0.0,2.0,1.0,0.0,3.0,12.0,,
78348,0.0,0.0,2.0,1.0,1.0,0.0,12.0,,2.0
79259,0.0,0.0,2.0,1.0,1.0,1.0,12.0,,2.0
80170,0.0,0.0,2.0,1.0,1.0,2.0,12.0,,
81081,0.0,0.0,2.0,1.0,1.0,3.0,12.0,,
8098,0.0,0.0,2.0,1.0,2.0,0.0,12.0,,2.0
9009,0.0,0.0,2.0,1.0,2.0,1.0,12.0,,2.0
9920,0.0,0.0,2.0,1.0,2.0,2.0,12.0,,
