hash,p,d,q,P,D,Q,s,AIC,MACAPE
50401,0.0,0.0,2.0,1.0,0.0,2.0,12.0,,
51312,0.0,0.0,2.0,1.0,0.0,3.0,12.0,,
78348,0.0,0.0,2.0,1.0,1.0,0.0,12.0,,
79259,0.0,0.0,2.0,1.0,1.0,1.0,12.0,,
80170,0.0,0.0,2.0,1.0,1.0,2.0,12.0,,
81081,0.0,0.0,2.0,1.0,1.0,3.0,12.0,,
62989,0.0,0.0,2.0,2.0,0.0,0.0,12.0,,
63900,0.0,0.0,2.0,2.0,0.0,1.0,12.0,,
64811,0.0,0.0,2.0,2.0,0.0,2.0,12.0,,
65722,0.0,0.0,2.0,2.0,0.0,3.0,12.0,,
92758,0.0,0.0,2.0,2.0,1.0,0.0,12.0,,
93669,0.0,0.0,2.0,2.0,1.0,1.0,12.0,,
94580,0.0,0.0,2.0,2.0,1.0,2.0,12.0,,
95491,0.0,0.0,2.0,2.0,1.0,3.0,12.0,,
77399,0.0,0.0,2.0,3.0,0.0,0.0,12.0,,
78310,0.0,0.0,2.0,3.0,0.0,1.0,12.0,,
79221,0.0,0.0,2.0,3.0,0.0,2.0,12.0,,
80132,0.0,0.0,2.0,3.0,0.0,3.0,12.0,,
7149,0.0,0.0,2.0,3.0,1.0,0.0,12.0,,
8060,0.0,0.0,2.0,3.0,1.0,1.0,12.0,,
8971,0.0,0.0,2.0,3.0,1.0,2.0,12.0,,
9882,0.0,0.0,2.0,3.0,1.0,3.0,12.0,,
59190,0.0,0.0,3.0,0.0,0.0,0.0,12.0,,
60101,0.0,0.0,3.0,0.0,0.0,1.0,12.0,,
61012,0.0,0.0,3.0,0.0,0.0,2.0,12.0,,
61923,0.0,0.0,3.0,0.0,0.0,3.0,12.0,,
88959,0.0,0.0,3.0,0.0,1.0,0.0,12.0,,
89870,0.0,0.0,3.0,0.0,1.0,1.0,12.0,,
90781,0.0,0.0,3.0,0.0,1.0,2.0,12.0,,
91692,0.0,0.0,3.0,0.0,1.0,3.0,12.0,,
73600,0.0,0.0,3.0,1.0,0.0,0.0,12.0,,
74511,0.0,0.0,3.0,1.0,0.0,1.0,12.0,,
75422,0.0,0.0,3.0,1.0,0.0,2.0,12.0,,
76333,0.0,0.0,3.0,1.0,0.0,3.0,12.0,,
3350,0.0,0.0,3.0,1.0,1.0,0.0,12.0,,
4261,0.0,0.0,3.0,1.0,1.0,1.0,12.0,,
5172,0.0,0.0,3.0,1.0,1.0,2.0,12.0,,
6083,0.0,0.0,3.0,1.0,1.0,3.0,12.0,,
88010,0.0,0.0,3.0,2.0,0.0,0.0,12.0,,
88921,0.0,0.0,3.0,2.0,0.0,1.0,12.0,,
89832,0.0,0.0,3.0,2.0,0.0,2.0,12.0,,
90743,0.0,0.0,3.0,2.0,0.0,3.0,12.0,,
17760,0.0,0.0,3.0,2.0,1.0,0.0,12.0,,
18671,0.0,0.0,3.0,2.0,1.0,1.0,12.0,,
19582,0.0,0.0,3.0,2.0,1.0,2.0,12.0,,
20493,0.0,0.0,3.0,2.0,1.0,3.0,12.0,,
2401,0.0,0.0,3.0,3.0,0.0,0.0,12.0,,
3312,0.0,0.0,3.0,3.0,0.0,1.0,12.0,,
4223,0.0,0.0,3.0,3.0,0.0,2.0,12.0,,
5134,0.0,0.0,3.0,3.0,0.0,3.0,12.0,,
32170,0.0,0.0,3.0,3.0,1.0,0.0,12.0,,
33081,0.0,0.0,3.0,3.0,1.0,1.0,12.0,,
33992,0.0,0.0,3.0,3.0,1.0,2.0,12.0,,
34903,0.0,0.0,3.0,3.0,1.0,3.0,12.0,,
73945,0.0,1.0,0.0,0.0,0.0,0.0,12.0,,
74856,0.0,1.0,0.0,0.0,0.0,1.0,12.0,-1271.45261214,0.00241700522451
75767,0.0,1.0,0.0,0.0,0.0,2.0,12.0,,
76678,0.0,1.0,0.0,0.0,0.0,3.0,12.0,,
3695,0.0,1.0,0.0,0.0,1.0,0.0,12.0,,
4606,0.0,1.0,0.0,0.0,1.0,1.0,12.0,-1578.6371713,0.00101961392072
5517,0.0,1.0,0.0,0.0,1.0,2.0,12.0,-1576.40986917,0.00101384390187
6428,0.0,1.0,0.0,0.0,1.0,3.0,12.0,-1579.88956051,0.00103457634765
88355,0.0,1.0,0.0,1.0,0.0,0.0,12.0,-1612.50177386,0.00102995405517
89266,0.0,1.0,0.0,1.0,0.0,1.0,12.0,-1639.2460049,0.000983442914467
90177,0.0,1.0,0.0,1.0,0.0,2.0,12.0,-1644.4647659,0.000999624655265
91088,0.0,1.0,0.0,1.0,0.0,3.0,12.0,,
18105,0.0,1.0,0.0,1.0,1.0,0.0,12.0,-1580.25132762,0.00102895048194
19016,0.0,1.0,0.0,1.0,1.0,1.0,12.0,-1576.53949557,0.00102075448091
19927,0.0,1.0,0.0,1.0,1.0,2.0,12.0,-1572.56875721,0.00102000614563
20838,0.0,1.0,0.0,1.0,1.0,3.0,12.0,-1579.22196035,0.00103178744484
2746,0.0,1.0,0.0,2.0,0.0,0.0,12.0,-1645.73030924,0.00101356042071
3657,0.0,1.0,0.0,2.0,0.0,1.0,12.0,-1639.40464131,0.000989503366944
4568,0.0,1.0,0.0,2.0,0.0,2.0,12.0,-1643.37702067,0.00100028153199
5479,0.0,1.0,0.0,2.0,0.0,3.0,12.0,,
32515,0.0,1.0,0.0,2.0,1.0,0.0,12.0,-1576.43227318,0.00102691333163
33426,0.0,1.0,0.0,2.0,1.0,1.0,12.0,-1574.22944796,0.0010197240488
34337,0.0,1.0,0.0,2.0,1.0,2.0,12.0,-1569.26329018,0.00102635079012
35248,0.0,1.0,0.0,2.0,1.0,3.0,12.0,-1574.07575064,0.00104726076368
17156,0.0,1.0,0.0,3.0,0.0,0.0,12.0,-1639.31592285,0.00100432315685
18067,0.0,1.0,0.0,3.0,0.0,1.0,12.0,-1637.09413111,0.000991717973631
18978,0.0,1.0,0.0,3.0,0.0,2.0,12.0,-1639.00377687,0.00100590581094
19889,0.0,1.0,0.0,3.0,0.0,3.0,12.0,,
46925,0.0,1.0,0.0,3.0,1.0,0.0,12.0,-1581.49330401,0.000978516847059
47836,0.0,1.0,0.0,3.0,1.0,1.0,12.0,-1581.03494802,0.000977832949997
48747,0.0,1.0,0.0,3.0,1.0,2.0,12.0,-1581.03781366,0.000977243406866
49658,0.0,1.0,0.0,3.0,1.0,3.0,12.0,-1575.72405484,0.00102805560694
98966,0.0,1.0,1.0,0.0,0.0,0.0,12.0,-1172.86937403,0.0033520438279
99877,0.0,1.0,1.0,0.0,0.0,1.0,12.0,-1320.98968106,0.0022505431473
769,0.0,1.0,1.0,0.0,0.0,2.0,12.0,,
1680,0.0,1.0,1.0,0.0,0.0,3.0,12.0,,
28716,0.0,1.0,1.0,0.0,1.0,0.0,12.0,-1571.98311665,0.00105909973661
29627,0.0,1.0,1.0,0.0,1.0,1.0,12.0,-1591.21475255,0.00101633723858
30538,0.0,1.0,1.0,0.0,1.0,2.0,12.0,-1589.13426933,0.00101247036216
31449,0.0,1.0,1.0,0.0,1.0,3.0,12.0,-1585.70083384,0.00104350158401
13357,0.0,1.0,1.0,1.0,0.0,0.0,12.0,-1633.40247653,0.00102344623934
14268,0.0,1.0,1.0,1.0,0.0,1.0,12.0,-1656.28433293,0.00097841493714
15179,0.0,1.0,1.0,1.0,0.0,2.0,12.0,-1659.14203556,0.00100644878207
16090,0.0,1.0,1.0,1.0,0.0,3.0,12.0,,
43126,0.0,1.0,1.0,1.0,1.0,0.0,12.0,-1591.67835897,0.00102558048173
44037,0.0,1.0,1.0,1.0,1.0,1.0,12.0,-1589.11006687,0.00101719786638
44948,0.0,1.0,1.0,1.0,1.0,2.0,12.0,-1585.47847656,0.00101470306182
27767,0.0,1.0,1.0,2.0,0.0,0.0,12.0,-1618.5410225,0.00112726487716
28678,0.0,1.0,1.0,2.0,0.0,1.0,12.0,-1658.9353777,0.000999611088171
29589,0.0,1.0,1.0,2.0,0.0,2.0,12.0,-1657.58587908,0.000999160267657
30500,0.0,1.0,1.0,2.0,0.0,3.0,12.0,,
57536,0.0,1.0,1.0,2.0,1.0,0.0,12.0,-1588.76815308,0.00102293589651
58447,0.0,1.0,1.0,2.0,1.0,1.0,12.0,-1586.89352322,0.00101639708261
59358,0.0,1.0,1.0,2.0,1.0,2.0,12.0,-1582.28148493,0.00101804094186
60269,0.0,1.0,1.0,2.0,1.0,3.0,12.0,-1579.45442262,0.00105645615464
42177,0.0,1.0,1.0,3.0,0.0,0.0,12.0,-1657.14221021,0.000999057542793
43088,0.0,1.0,1.0,3.0,0.0,1.0,12.0,-1614.40979314,0.00110830028562
43999,0.0,1.0,1.0,3.0,0.0,2.0,12.0,-1661.35900931,0.000986795396919
44910,0.0,1.0,1.0,3.0,0.0,3.0,12.0,,
71946,0.0,1.0,1.0,3.0,1.0,0.0,12.0,-1592.30089939,0.000988448624589
72857,0.0,1.0,1.0,3.0,1.0,1.0,12.0,-1591.54331604,0.00098624013545
73768,0.0,1.0,1.0,3.0,1.0,2.0,12.0,-1590.56115427,0.000986131300627
74679,0.0,1.0,1.0,3.0,1.0,3.0,12.0,-1581.77355997,0.00103579865981
23968,0.0,1.0,2.0,0.0,0.0,0.0,12.0,-1171.52854372,0.00335653138462
24879,0.0,1.0,2.0,0.0,0.0,1.0,12.0,-1319.45400979,0.00226406255573
25790,0.0,1.0,2.0,0.0,0.0,2.0,12.0,,
26701,0.0,1.0,2.0,0.0,0.0,3.0,12.0,,
53737,0.0,1.0,2.0,0.0,1.0,0.0,12.0,-1572.64762778,0.00105104884588
54648,0.0,1.0,2.0,0.0,1.0,1.0,12.0,-1591.45890565,0.001015531206
55559,0.0,1.0,2.0,0.0,1.0,2.0,12.0,-1589.54927959,0.00100921217349
56470,0.0,1.0,2.0,0.0,1.0,3.0,12.0,-1584.92593071,0.00104243080949
38378,0.0,1.0,2.0,1.0,0.0,0.0,12.0,-1629.08920336,0.00105209228789
39289,0.0,1.0,2.0,1.0,0.0,1.0,12.0,-1656.76179094,0.000980216086502
40200,0.0,1.0,2.0,1.0,0.0,2.0,12.0,-1653.97499579,0.00101851723796
41111,0.0,1.0,2.0,1.0,0.0,3.0,12.0,,
68147,0.0,1.0,2.0,1.0,1.0,0.0,12.0,-1591.41599354,0.00102778297396
69058,0.0,1.0,2.0,1.0,1.0,1.0,12.0,-1589.33142042,0.00101663013108
69969,0.0,1.0,2.0,1.0,1.0,2.0,12.0,-1586.23771635,0.00100779349785
70880,0.0,1.0,2.0,1.0,1.0,3.0,12.0,-1583.7388214,0.0010441021999
52788,0.0,1.0,2.0,2.0,0.0,0.0,12.0,-1659.45163166,0.00100743804097
53699,0.0,1.0,2.0,2.0,0.0,1.0,12.0,-1649.75037196,0.00100225711657
54610,0.0,1.0,2.0,2.0,0.0,2.0,12.0,-1658.27171276,0.000993558792761
55521,0.0,1.0,2.0,2.0,0.0,3.0,12.0,,
82557,0.0,1.0,2.0,2.0,1.0,0.0,12.0,-1588.80787543,0.00102342013126
83468,0.0,1.0,2.0,2.0,1.0,1.0,12.0,-1587.22304339,0.00101506878585
84379,0.0,1.0,2.0,2.0,1.0,2.0,12.0,-1583.22548334,0.00101045811473
67198,0.0,1.0,2.0,3.0,0.0,0.0,12.0,-1653.91637687,0.00101590350732
68109,0.0,1.0,2.0,3.0,0.0,1.0,12.0,-1647.16333782,0.00100564656558
69020,0.0,1.0,2.0,3.0,0.0,2.0,12.0,-1655.12519801,0.000999691613962
69931,0.0,1.0,2.0,3.0,0.0,3.0,12.0,,
96967,0.0,1.0,2.0,3.0,1.0,0.0,12.0,-1591.41453908,0.000987476209546
97878,0.0,1.0,2.0,3.0,1.0,1.0,12.0,-1590.55963029,0.000986467071073
98789,0.0,1.0,2.0,3.0,1.0,2.0,12.0,-1589.29166716,0.000985575095279
99700,0.0,1.0,2.0,3.0,1.0,3.0,12.0,-1589.85169353,0.000987750212893
48989,0.0,1.0,3.0,0.0,0.0,0.0,12.0,-1188.9388768,0.00326468473838
49900,0.0,1.0,3.0,0.0,0.0,1.0,12.0,-1326.89808175,0.00228653121042
50811,0.0,1.0,3.0,0.0,0.0,2.0,12.0,,
51722,0.0,1.0,3.0,0.0,0.0,3.0,12.0,,
78758,0.0,1.0,3.0,0.0,1.0,0.0,12.0,-1571.10135288,0.00106145254817
79669,0.0,1.0,3.0,0.0,1.0,1.0,12.0,-1588.00827808,0.00102511406775
80580,0.0,1.0,3.0,0.0,1.0,2.0,12.0,-1586.09747927,0.00101984281437
81491,0.0,1.0,3.0,0.0,1.0,3.0,12.0,-1590.03713512,0.0010125900113
63399,0.0,1.0,3.0,1.0,0.0,0.0,12.0,-1630.3218784,0.00101917068979
64310,0.0,1.0,3.0,1.0,0.0,1.0,12.0,-1622.64307735,0.00109920592454
65221,0.0,1.0,3.0,1.0,0.0,2.0,12.0,-1656.85690223,0.00100320898266
66132,0.0,1.0,3.0,1.0,0.0,3.0,12.0,,
93168,0.0,1.0,3.0,1.0,1.0,0.0,12.0,-1587.83865816,0.00103475410571
94079,0.0,1.0,3.0,1.0,1.0,1.0,12.0,-1585.89067347,0.00102631839714
94990,0.0,1.0,3.0,1.0,1.0,2.0,12.0,-1582.65629023,0.00102004595187
